NAME,FAILDATE,QBFASSET,QBFDEP,CITY,PSTALP,COST,RESTYPE
FON DU LAC STATE BANK,5/28/1934,374,238,EAST PEORIA,IL,,FAILURE
CLIFFSIDE PARK TITLE GUARANTEE & TRUST CO.,1/3/1935,2305,590,GRANTWOOD,NJ,,FAILURE
THE CUMMINGS STATE BANK,12/21/1936,,30,CUMMINGS,ND,,FAILURE
BANK OF TAYLOR,5/31/1985,14542,13360,TAYLOR,NE,1653,FAILURE
FAIRFIELD STATE BANK,5/31/1985,6795,6034,FAIRFIELD,NE,1656,FAILURE
SECURITY STATE BANK,5/31/1985,6570,6072,EDGAR,NE,1118,FAILURE
SCROGGIN & COMPANY BANK,5/31/1985,3552,3219,OAK,NE,165,FAILURE
CENTRAL S&LA,5/31/1985,2308903,1680711,SAN DIEGO,CA,327146,ASSISTANCE
SOUTHERN CALIFORNIA  S&LA,6/6/1985,1492644,1263750,BEVERLY HILLS,CA,223825,ASSISTANCE
COMMUNITY FS&LA,6/7/1985,22747,18798,NASHVILLE,TN,3638,FAILURE
MAGNOLIA FS&LA,6/7/1985,4816,3649,KNOXVILLE,TN,1529,FAILURE
AMERICAN NATIONAL BANK OF RIVERTON,6/11/1985,37937,39595,RIVERTON,WY,10568,FAILURE
THE FIRST STATE BANK,6/13/1985,8325,8119,EDNA,KS,2827,FAILURE
RESERVATION STATE BANK,12/21/1936,,78,MAKOTI,ND,,FAILURE
SWIFT COUNTY BANK,6/14/1985,41598,38007,BENSON,MN,8386,FAILURE
STRONG'S BANK,6/14/1985,30733,28240,DODGEVILLE,WI,2,FAILURE
FARMERS STATE BANK OF DEXTER,6/20/1985,4267,4166,DEXTER,KS,1280,FAILURE
"FIRST CITY BANK, N.A.",6/21/1985,97808,92708,OKLAHOMA CITY,OK,32615,FAILURE
URBANA SAVINGS BANK,6/21/1985,7158,6325,URBANA,IA,810,FAILURE
GOLDEN PACIFIC NATIONAL BANK,6/21/1985,146254,131418,NEW YORK,NY,0,FAILURE
EUREKA FS&LA,6/21/1985,1570628,1364360,SAN CARLOS,CA,453308,ASSISTANCE
"SUN BELT FEDERAL BANK, FSB",6/25/1985,278335,269111,LAKE PROVIDENCE,LA,156154,FAILURE
NEW ORLEANS S&LA,6/25/1985,118050,105339,NEW ORLEANS,LA,73507,FAILURE
AUDUBON S&LA,6/25/1985,211301,222109,NEW ORLEANS,LA,166227,FAILURE
FIRST STATE BANK OF MAX,12/21/1936,,100,MAX,ND,,FAILURE
COMMUNITY FS&LA,6/25/1985,47936,46831,BATON ROUGE,LA,29713,FAILURE
NORTHLAKE S&LA,6/25/1985,141383,148074,COVINGTON,LA,89333,FAILURE
CRESCENT SAVINGS BANK,6/25/1985,89114,83950,NEW ORLEANS,LA,53664,FAILURE
CENTURY SA,6/26/1985,91832,44968,SHAWNEE MSN,KS,16154,ASSISTANCE
FIRST BANK & TRUST,6/28/1985,21123,19718,TRACY CITY,TN,2912,FAILURE
CITIZENS S&LA,7/1/1985,18387,13257,BATESVILLE,MS,4110,ASSISTANCE
