date,n,cumsum,category
2023-11-10,1,1,svelte
2023-11-13,1,2,svelte
2023-11-15,1,3,svelte
2023-11-16,1,4,svelte
2023-11-17,2,6,svelte
2023-11-18,1,7,svelte
2023-11-19,1,8,svelte
2023-11-20,1,9,svelte
2023-11-22,1,10,svelte
2023-11-23,1,11,svelte
2023-11-24,1,12,svelte
2023-11-25,1,13,svelte
2023-11-27,1,14,svelte
2023-11-29,1,15,svelte
2023-11-30,1,16,svelte
2023-12-01,1,17,svelte
2023-12-04,1,18,svelte
2023-12-05,1,19,svelte
2023-12-07,3,22,svelte
2023-12-12,1,23,svelte
2023-12-13,1,24,svelte
2023-12-14,1,25,svelte
2023-12-17,1,26,svelte
2023-12-27,1,27,svelte
2024-01-03,1,28,svelte
2024-01-05,1,29,svelte
2024-01-08,1,30,svelte
2024-01-09,1,31,svelte
2024-01-10,2,33,svelte
2024-01-11,1,34,svelte
2024-01-13,1,35,svelte
2024-01-16,1,36,svelte
2024-01-17,1,37,svelte
2024-01-24,1,38,svelte
2024-01-26,2,40,svelte
2024-01-29,1,41,svelte
2024-01-31,3,44,svelte
2024-02-02,1,45,svelte
2024-02-05,3,48,svelte
2024-02-06,2,50,svelte
2024-02-08,1,51,svelte
2024-02-09,1,52,svelte
2024-02-13,1,53,svelte
2024-02-14,1,54,svelte
2024-02-15,1,55,svelte
2024-02-17,2,57,svelte
2024-02-18,2,59,svelte
2024-02-19,1,60,svelte
2024-02-20,4,64,svelte
2024-02-21,1,65,svelte
2024-02-23,3,68,svelte
2024-02-28,1,69,svelte
2024-03-02,1,70,svelte
2024-03-05,2,72,svelte
2024-03-08,1,73,svelte
2024-03-10,1,74,svelte
2024-03-11,1,75,svelte
2024-03-13,3,78,svelte
2024-03-14,1,79,svelte
2024-03-15,1,80,svelte
2024-03-21,1,81,svelte
2024-03-22,1,82,svelte
2024-03-25,2,84,svelte
2024-03-26,1,85,svelte
2024-03-28,2,87,svelte
2024-03-29,2,89,svelte
2024-03-30,1,90,svelte
2024-04-02,3,93,svelte
2024-04-03,1,94,svelte
2024-04-06,1,95,svelte
2024-04-09,1,96,svelte
2024-04-10,1,97,svelte
2024-04-11,3,100,svelte
2024-04-12,2,102,svelte
2024-04-14,1,103,svelte
2024-04-15,1,104,svelte
2024-04-16,2,106,svelte
2024-04-17,1,107,svelte
2024-04-18,1,108,svelte
2024-04-19,1,109,svelte
