Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
Heartbeat Network,2022-01-15,600,,Publisher,China,China
Perfect World Games,2022-01-27,1000,Perfect World Co. Ltd.,Publisher,China,China
Playgendary Minsk,2022-02-01,200,Playgendary,Mobile,Belarus,Cyprus
Gamigo,2022-03-28,,Media and Games Invest,Publisher,Washington State,Sweden
PlayStation,2022-04-01,93,Sony Entertainment,Publisher,California,Japan
Wargaming Minskj,2022-04-04,,Wargaming,Publisher,Belarus,Russia
Electronic Arts,2022-05-18,200,Electronic Arts,Publisher,California,United States
MPL,2022-05-22,100,,Mobile,India,India
Tencent IEG,2022-05-25,50,Tencent,Publisher,China,China
Hangar 13,2022-05-26,87,TakeTwo Interactive,Console,California,United States
PlayTika,2022-06-01,250,PlayTika,Mobile,"England, Quebec",Israel
Penguin Esports,2022-06-01,,Tencent,Online,China,China
101XP,2022-06-02,,,Mobile,Russia,Russia
Plarium Krasnador,2022-06-15,500,Plarium,Mobile,Russia,Israel
Game Insight,2022-06-15,600,Game Insight,Mobile,Russia,Lithuania
Friday's Games,2022-06-21,50,,Mobile,Russia,Russia
Adjust,2022-06-27,,App Lovin,Mobile,California,United States
101 Studio,2022-06-28,150,ByteDance,Mobile,China,China
Intellivision,2022-06-28,,,Tech,California,United States
Unity Technologies,2022-06-30,150,Unity,Tech,California,United States
Niantic,2022-06-30,90,Niantic,Mobile,California,United States
IGG,2022-06-30,598,IGG,Mobile,China,Singapore
Archosaur Games,2022-06-30,304,Zulong Entertainment,Mobile,China,China
LineKong Interactive,2022-07-01,50,,Online,China,China
NetEase Spark Studio,2022-07-14,,NetEase,Publisher,China,China
37 Mobile Games,2022-07-29,130,Sanqi Interactive Entertainment,Mobile,China,China
Uken Games,2022-08-01,,,Mobile,British Columbia,Canada
Ludia,2022-08-04,200,Jam City,Mobile,Quebec,United States
Mino Games,2022-08-26,,,Mobile,Quebec,Canada
Lockwood Publishing,2022-09-02,34,,Publisher,England,United Kingdom
Wushuan Studio,2022-09-06,,ByteDance,Online,China,China
Garena,2022-09-09,700,Sea Ltd.,Online,Singapore,Singapore
Booyah!,2022-09-22,35,Sea Ltd.,Online,California,Singapore
Mighty Kingdom,2022-09-28,,,Indie,Australia,Australia
Playdots,2022-10-14,65,TakeTwo Interactive,Mobile,New York,United States
Xbox,2022-10-18,1000,Microsoft,Publisher,Washington State,United States
Onoma,2022-11-02,200,Embracer Group,Mobile,Quebec,Sweden
WIIMO Games,2022-11-02,,,Mobile,Texas,United States
Kabam,2022-11-10,35,,Mobile,Canada,Canada
Tencent IEG,2022-11-15,,Tencent,Online,China,China
Amazon Luna,2022-11-17,,Amazon,Tech,Washington State,United States
Lilith Games,2022-11-19,,,Publisher,China,China
Wildlife Studios,2022-11-29,300,Wildlife Studios,Mobile,Brazil,Brazil
Spokko Studio,2022-12-06,,CD Projekt,Mobile,Poland,Poland
Age of Learning Inc.,2022-12-08,128,ABC Mouse,Online,California,United States
Gamigo,2022-12-21,50,Media and Games Invest,Online,Washington State,Sweden
PlayTika,2022-12-22,600,PlayTika,Mobile,,Israel
Wizards of the Coast,2023-01-03,15,Hasbro,Console,,United States
Unity Technologies,2023-01-17,300,Unity,Tech,California,United States
HiRez Games,2023-01-19,,,Online,Georgia,United States
343 Studios,2023-01-19,95,Microsoft,Console,Washington State,United States
The Coalition,2023-01-19,,Microsoft,Console,British Columbia,United States
Bethesda Games,2023-01-19,,Microsoft,Console,,United States
Riot Games,2023-01-19,46,Tencent,Online,California,China
Roblox,2023-01-20,30,,Tech,California,United States
Hidden Leaf Games,2023-01-25,30,,Indie,California,United States
Wicked Realm Games,2023-01-30,60,Tilting Point,Mobile,Massachusetts,United States
EA Industrial Toys,2023-01-31,150,Electronic Arts,Mobile,California,United States
Respawn Entertainment,2023-01-31,,Electronic Arts,Mobile,California,United States
Hyper Hippos Entertainment,2023-02-01,10,,Mobile,British Columbia,Canada
Mutant Arm Studios,2023-02-01,31,,Indie,Oregon,United States
Big Run Studios,2023-02-02,25,,Mobile,California,United States
Nexon Games West,2023-02-02,80,Nexon,Online,California,South Korea
Survios,2023-02-13,35,,AR/VR,California,United States
PUBG Santa Monica,2023-02-24,5,Krafton,Online,California,South Korea
EA Baton Rouge,2023-02-28,200,Electronic Arts,Publisher,Lousiana,United States
GameLoft Budapest,2023-03-01,100,GameLoft,Mobile,Hungary,France
Private Division,2023-03-07,,TakeTwo Interactive,Publisher,California,United States
Team17,2023-03-17,,Team17,Publisher,England,United Kingdom
Twitch,2023-03-20,400,Amazon,Online,California,United States
Electronic Arts,2023-03-30,775,,Publisher,,United States
LINE games,2023-03-30,30,Naver,Online,South Korea,South Korea
Counterplay Games,2023-04-04,,,Indie,California,United States
Paradox Games,2023-04-04,36,Paradox Interactive,Indie,Sweden,Sweden
Amazon Game Studios,2023-04-04,100,Amazon,Publisher,California,United States
Innogames,2023-04-14,75,,Mobile,Germany,Germany
Bungie,2023-04-14,,Sony Entertainment,Console,Washington State,Japan
CyberConnect2 Montreal,2023-04-17,55,CyberConnect2,Console,Quebec,Japan
Downpour Interactive,2023-04-20,,Meta,AR/VR,Washington State,United States
Ready at Dawn,2023-04-20,30,Meta,AR/VR,California,United States
Ten Square Games,2023-04-21,105,,Mobile,Wroclaw,Poland
Phoenix Labs,2023-04-25,30,Garena,Online,British Columbia,Singapore
PixelOpus,2023-05-01,20,Sony Entertainment,Console,California,Japan
We're Five Games,2023-05-01,14,TinyBuild,Console,Minneapolis,United States
PlayStudios,2023-05-01,100,PlayStudios,Mobile,Nevada,United States
Unity Technologies,2023-05-02,600,Unity,Online,California,United States
Final Strike Games,2023-05-09,30,,Console,California,United States
Ubisoft,2023-05-10,60,Ubisoft,Publisher,,France
The Molasses Flood,2023-05-11,29,CD Projekt,Console,Massachusetts,Poland
Deviation Games,2023-05-12,90,,Console,Los Angeles,United States
Brace Yourself Games,2023-05-18,21,,Console,British Columbia,Canada
