company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added
Digg,New York City,,3/13/2026,,Consumer,https://techcrunch.com/2026/03/13/digg-lays-off-staff-and-shuts-down-app-as-company-retools/,Acquired,49,United States,3/13/2026
Atlassian,"Sydney, Non-U.S.",1600.0,3/11/2026,0.1,Other,https://au.finance.yahoo.com/news/atlassian-lay-off-1-600-212610757.html?guccounter=1,Post-IPO,210,Australia,3/11/2026
Flipkart,"Bengaluru, Non-U.S.",500.0,3/6/2026,,Retail,https://inc42.com/buzz/flipkart-lays-off-about-500-employees-post-annual-performance-review/,Acquired,12900,India,3/7/2026
SSense,"Montreal, Non-U.S.",215.0,3/5/2026,,Retail,https://betakit.com/ssense-cut-more-than-200-jobs-days-after-founders-won-bid-to-buy-back-company/,Series A,,Canada,3/7/2026
Supernal,Los Angeles,296.0,3/4/2026,0.8,Transportation,https://www.latimes.com/business/story/2026-03-04/irvine-startup-lays-off-close-to-300-employees,Unknown,,United States,3/7/2026
Envato,"Melbourne, Non-U.S.",200.0,3/4/2026,0.3,Marketing,https://www.startupdaily.net/advice/business-strategy/shutterstock-owned-envato-is-slashing-its-workforce/,Unknown,,Australia,3/7/2026
At-Bay,"Tel Aviv, Non-U.S.",25.0,3/4/2026,,Security,https://www.calcalistech.com/ctechnews/article/bye11uubkwe,Unknown,296,United States,3/7/2026
MicroVision,Seattle,49.0,3/3/2026,,Other,https://www.bizjournals.com/seattle/news/2026/03/03/microvision-lidar-redmond-layoffs-warn-cars.html,Post-IPO,415,United States,3/7/2026
Verint Systems,New York City,,3/2/2026,,Security,https://www.calcalistech.com/ctechnews/article/rjpmvvqf11l,Acquired,213,United States,3/7/2026
Zap Africa,"Lagos, Non-U.S.",,2/28/2026,0.44,Finance,https://techcabal.com/2026/02/28/zap-africa-layoffs/,Seed,,Nigeria,3/3/2026
Block,SF Bay Area,4000.0,2/26/2026,0.4,Finance,https://www.cnbc.com/2026/02/26/block-laying-off-about-4000-employees-nearly-half-of-its-workforce.html,Post-IPO,150,United States,2/26/2026
Ocado,"London, Non-U.S.",1000.0,2/26/2026,0.05,Food,https://www.theguardian.com/business/2026/feb/26/ocado-to-cut-1000-jobs-in-150m-cost-cutting-drive,Post-IPO,2000,United Kingdom,3/3/2026
eBay,SF Bay Area,800.0,2/26/2026,0.06,Retail,https://www.cnbc.com/2026/02/26/ebay-layoffs-800-workforce.html,Post-IPO,1200,Israel,2/26/2026
C3.ai,SF Bay Area,280.0,2/25/2026,0.26,AI,https://www.morningstar.com/stocks/xnys/ai/earnings-transcript,Series F,228,United States,2/26/2026
WiseTech,"Sydney, Non-U.S.",2000.0,2/24/2026,0.3,Logistics,https://www.bloomberg.com/news/articles/2026-02-24/wisetech-to-cut-2-000-jobs-as-ai-ends-era-of-manual-coding,Post-IPO,3000,Australia,2/25/2026
TrueCar,Los Angeles,100.0,2/24/2026,0.3,Transportation,https://aimgroup.com/2026/02/24/truecar-cuts-30-of-staff/,Post-IPO,340,United States,2/25/2026
DraftKings,Boston,,2/24/2026,,Consumer,https://next.io/news/people/draftkings-reduces-workforce-company-embraces-ai/,Post-IPO,719,United States,2/25/2026
Livspace,"Bengaluru, Non-U.S.",1000.0,2/20/2026,0.12,Consumer,https://inc42.com/buzz/livspace-fires-1000-employees-cofounder-quits/,Series F,482,India,2/22/2026
Lucid Motors,SF Bay Area,,2/20/2026,0.12,Transportation,https://techcrunch.com/2026/02/20/lucid-motors-slashes-12-of-its-workforce-as-it-seeks-profitability/,Post-IPO,8300,United States,2/22/2026
Cyberark,Boston,500.0,2/17/2026,0.12,Security,https://www.calcalistech.com/ctechnews/article/hy707511ube,Acquired,1700,United States,2/18/2026
Huawei,"Tel Aviv, Non-U.S.",50.0,2/15/2026,,Hardware,https://www.calcalistech.com/ctechnews/article/bkmmdojuwx,Unknown,,Israel,2/18/2026
Axonius,New York City,40.0,2/15/2026,0.04,Security,https://www.calcalistech.com/ctechnews/article/s1xchi1oze,Series E,865,United States,2/18/2026
Firebolt,"Tel Aviv, Non-U.S.",,2/15/2026,,Data,https://www.calcalistech.com/ctechnews/article/r1cj0csuwl,Series C,264,Israel,3/7/2026
Clari,SF Bay Area,76.0,2/12/2026,,Sales,https://www.bizjournals.com/sanjose/news/2026/02/12/clari-salesloft-merger-ai-investments-layoffs.html,Acquired,496,United States,2/18/2026
Glossier,New York City,50.0,2/11/2026,0.33,Retail,https://www.businessoffashion.com/news/cosmetics/glossier-layoffs-2026/,Series E,266,United States,2/13/2026
Dayforce,"Toronto, Non-U.S.",,2/11/2026,0.05,HR,Internal memo,Post-IPO,40,Canada,2/18/2026
Salesforce,SF Bay Area,,2/9/2026,,Sales,https://www.businessinsider.com/salesforce-cuts-jobs-executive-changes-2026-2,Post-IPO,65,United States,2/11/2026
Workday,SF Bay Area,400.0,2/4/2026,0.02,HR,https://www.bloomberg.com/news/articles/2026-02-04/workday-to-cut-about-400-employees-focused-on-customer-support,Post-IPO,230,United States,2/5/2026
Rewire,"Tel Aviv, Non-U.S.",110.0,2/4/2026,,Finance,https://www.calcalistech.com/ctechnews/article/bkxy2fwv11g,Acquired,57,Israel,2/18/2026
Smartsheet,Seattle,,2/4/2026,,Other,https://www.geekwire.com/2026/smartsheet-layoffs-enterprise-software-giant-cuts-staff/,Post-IPO,152,United States,2/7/2026
Zillow,Seattle,200.0,2/2/2026,,Real Estate,https://www.seattletimes.com/business/real-estate/seattle-based-zillow-lays-off-200-employees/,Post-IPO,97,United States,2/5/2026
Zipcar,Boston,126.0,2/2/2026,,Transportation,https://www.boston.com/news/business/2026/02/02/zipcar-to-close-seaport-headquarters-cut-more-than-100-jobs/,Acquired,107,United States,2/10/2026
Expedia,Seattle,100.0,2/1/2026,,Travel,https://finance.yahoo.com/news/expedia-cut-100-jobs-austin-161917994.html?guccounter=1,Post-IPO,3300,United States,2/7/2026
Zupee,"New Delhi, Non-U.S.",200.0,1/30/2026,,Consumer,https://yourstory.com/2026/01/zupee-cuts-about-200-jobs-in-second-layoff-after-money-gaming-ban,Series B,121,India,2/3/2026
Peloton,New York City,,1/30/2026,0.11,Fitness,https://www.reuters.com/business/peloton-cuts-11-staff-including-engineering-teams-bloomberg-news-reports-2026-01-30/,Post-IPO,1900,United States,2/3/2026
Kiwi.com,"Brno, Non-U.S.",250.0,1/29/2026,0.36,Travel,https://forbes.cz/kiwi-pokracuje-v-propousteni-odchazi-tretina-zamestnancu/,Unknown,107,Czech Republic,2/3/2026
Gloo,Boulder,,1/29/2026,,Consumer,https://www.bizjournals.com/denver/news/2026/01/29/ai-company-cuts-staff-reduces-executive-salaries.html,Post-IPO,152,United States,2/18/2026
Amazon,Seattle,16000.0,1/28/2026,,Retail,https://www.aboutamazon.com/news/company-news/amazon-layoffs-corporate-jan-2026,Post-IPO,8100,United States,1/28/2026
ASML,"Veldhoven, Non-U.S.",1700.0,1/28/2026,,Hardware,https://www.asml.com/en/news/press-releases/2026/strengthening-focus-on-engineering-and-innovation,Post-IPO,,Netherlands,2/3/2026
Pinterest,SF Bay Area,700.0,1/27/2026,0.15,Consumer,https://www.theverge.com/news/868531/pinterest-layoffs-cuts-15-percent-ai-transformation,Post-IPO,1500,United States,1/27/2026
Moon Active,"Tel Aviv, Non-U.S.",110.0,1/27/2026,0.05,Consumer,https://www.calcalistech.com/ctechnews/article/jvbqyjznm,Unknown,425,Israel,3/7/2026
Expedia,Seattle,,1/26/2026,,Travel,https://www.bizjournals.com/seattle/news/2026/01/26/expedia-layoffs-tech-team-interbay-travel.html,Post-IPO,3300,United States,1/28/2026
Entropy,New York City,,1/25/2026,1.0,Crypto,https://www.theblock.co/post/386942/entropy-a16z-backed-decentralized-custody-startup-is-winding-down-and-returning-capital-to-investors,Seed,27,United States,1/26/2026
Autodesk,SF Bay Area,1000.0,1/22/2026,0.07,Other,https://www.reuters.com/business/world-at-work/autodesk-lay-off-about-7-workforce-2026-01-22/,Post-IPO,,United States,1/23/2026
Shopify,"Ottawa, Non-U.S.",,1/22/2026,,Retail,https://betakit.com/shopify-makes-more-job-cuts-this-time-targeting-partnerships-division/,Post-IPO,122,Canada,1/26/2026
Vimeo,New York City,,1/21/2026,,Consumer,https://www.businessinsider.com/vimeo-laying-off-staff-after-billion-sale-to-bending-spoons-2026-1,Post-IPO,450,United States,1/23/2026
Vimeo,"Tel Aviv, Non-U.S.",,1/20/2026,,Consumer,https://www.calcalistech.com/ctechnews/article/sjtjgbabzx,Post-IPO,450,United States,3/7/2026
Polygon,"Cayman Islands, Non-U.S.",60.0,1/16/2026,,Crypto,https://www.coindesk.com/business/2026/01/16/polygon-labs-said-to-have-laid-off-60-staff-following-new-usd250-million-acquisition,Unknown,451,Cayman Islands,1/16/2026
Ericsson,"Stockholm, Non-U.S.",1600.0,1/15/2026,,Other,https://www.reuters.com/business/world-at-work/ericsson-shed-1600-jobs-sweden-2026-01-15/,Post-IPO,663,Sweden,1/16/2026
Tipalti,SF Bay Area,100.0,1/15/2026,,Finance,https://en.globes.co.il/en/article-tipalti-laying-off-dozens-of-employees-1001532153,Series F,565,United States,1/19/2026
Playtika,"Tel Aviv, Non-U.S.",500.0,1/14/2026,0.15,Consumer,https://www.calcalistech.com/ctechnews/article/bkl6xzhswe,Post-IPO,,Israel,1/15/2026
Aleph Alpha,"Frankfurt, Non-U.S.",50.0,1/14/2026,0.16,AI,https://www.startbase.com/news/aleph-alpha-baut-rund-50-stellen-ab/,Series B,534,Germany,1/19/2026
Meta,SF Bay Area,1500.0,1/13/2026,0.02,Consumer,https://www.nytimes.com/2026/01/12/technology/meta-layoffs-reality-labs.html?unlocked_article_code=1.D1A.ckee.3ANQhKMxi5Ld&smid=url-share,Post-IPO,26000,United States,1/14/2026
eToro,"Tel Aviv, Non-U.S.",105.0,1/13/2026,0.07,Finance,https://www.calcalistech.com/ctechnews/article/sjedi1vh11x,Unknown,322,Israel,1/14/2026
StoreDot,"Tel Aviv, Non-U.S.",,1/13/2026,,Other,https://www.calcalistech.com/ctechnews/article/sjkqkmeb11x,Series D,184,Israel,1/14/2026
MercadoLibre,"Buenos Aires, Non-U.S.",116.0,1/12/2026,,Retail,https://eleconomista.com.ar/economia/despidos-mercado-libre-entrenamos-ia-nos-reemplazo-n91871,Post-IPO,5100,Brazil,1/14/2026
FormFactor,SF Bay Area,220.0,1/9/2026,0.11,Manufacturing,https://www.latimes.com/business/story/2026-01-09/bay-area-semiconductor-testing-company-to-lay-off-more-than-200-workers,Post-IPO,15,United States,1/13/2026
Kaseya,Miami,250.0,1/8/2026,0.05,Security,https://www.crn.com/news/channel-news/2026/kaseya-lays-off-5-percent-of-workforce-to-align-our-go-to-market-teams?itc=refresh,Private Equity,547,United States,1/13/2026
Hailo,"Tel Aviv, Non-U.S.",30.0,1/8/2026,0.1,Manufacturing,https://www.calcalistech.com/ctechnews/article/hyzk11etvwx,Series C,344,Israel,1/13/2026
Foretellix,"Tel Aviv, Non-U.S.",29.0,1/8/2026,0.18,Transportation,https://www.calcalistech.com/ctechnews/article/hjjj7b6vzx,Series C,132,Israel,1/13/2026
Tailwind Labs,Oklahoma City,3.0,1/8/2026,,Product,https://www.businessinsider.com/tailwind-engineer-layoffs-ai-github-2026-1,Unknown,,United States,1/13/2026
Angi,Indianapolis,350.0,1/7/2026,,Consumer,https://ir.angi.com/node/12951/html,Post-IPO,180,United States,1/13/2026
Multiverse,"London, Non-U.S.",55.0,1/5/2026,,Education,https://sifted.eu/articles/multiverse-job-cuts-euan-blair,Series D,414,United Kingdom,1/13/2026
Sapiens,"Tel Aviv, Non-U.S.",700.0,12/28/2025,0.15,Finance,https://www.calcalistech.com/ctechnews/article/r1oyau0mzl,Acquired,88,Israel,12/31/2025
Yellow.ai,SF Bay Area,100.0,12/23/2025,0.3,Support,https://inc42.com/buzz/exclusive-yellow-ai-lays-off-over-100-employees-amid-automation-push/,Series C,102,United States,12/26/2025
The Trade Desk,Los Angeles,,12/17/2025,,Marketing,https://www.adexchanger.com/platforms/the-trade-desk-lays-off-staff-one-year-after-its-last-major-reorg/,Post-IPO,257,United States,12/19/2025
Amazon,Seattle,84.0,12/15/2025,,Retail,https://www.bizjournals.com/seattle/news/2025/12/15/amazon-layoffs-84-february.html,Post-IPO,8100,United States,12/19/2025
PowerSchool,Sacramento,,12/12/2025,,Education,https://www.bizjournals.com/sacramento/news/2025/12/12/powerschool-restructuring-layoffs.html,Acquired,31,United States,12/15/2025
Zebra Technologies,Chicago,,12/12/2025,,Manufacturing,https://www.therobotreport.com/zebra-technologies-winding-down-fetch-based-mobile-robot-group/,Post-IPO,2000,United States,12/19/2025
Believer Meats,"Jerusalem, Non-U.S.",,12/11/2025,,Food,https://www.calcalistech.com/ctechnews/article/bknaajdzbe,Series B,389,Israel,12/12/2025
EyeEm,"Berlin, Non-U.S.",,12/11/2025,1.0,Other,https://petapixel.com/2025/12/11/eyeem-is-shutting-down/,Acquired,24,Germany,12/12/2025
Lusha,Boston,24.0,12/10/2025,0.08,Sales,https://www.calcalistech.com/ctechnews/article/sybqqlwm11g,Series B,245,United States,12/12/2025
Tenstorrent,"Toronto, Non-U.S.",80.0,12/9/2025,0.07,Hardware,https://www.eetimes.com/layoffs-at-tenstorrent-as-startup-pivots-towards-developer-sales/,Series D,1000,Canada,12/12/2025
Whatfix,"Bengaluru, Non-U.S.",60.0,12/9/2025,0.06,AI,https://inc42.com/buzz/softbank-backed-whatfix-fires-60-employees/,Series E,265,India,2/7/2026
VSCO,SF Bay Area,24.0,12/9/2025,,Consumer,https://techcrunch.com/2025/12/09/vsco-lays-off-24-staff-as-its-consumer-business-suffers/,Series B,90,United States,12/10/2025
GenWise,"New Delhi, Non-U.S.",,12/9/2025,1.0,Other,https://inc42.com/buzz/exclusive-kunal-shah-backed-genwise-shuts-down-operations/,Seed,3,India,12/10/2025
Mobileye,"Jerusalem, Non-U.S.",200.0,12/8/2025,0.04,Transportation,https://www.calcalistech.com/ctechnews/article/hjznnzvzzl,Post-IPO,2100,Israel,12/8/2025
Payoneer,New York City,60.0,12/8/2025,0.06,Finance,https://www.calcalistech.com/ctechnews/article/s1fu4c4zzg,Post-IPO,,United States,12/8/2025
Teads,New York City,180.0,12/4/2025,0.1,Marketing,https://www.calcalistech.com/ctechnews/article/skb9q0lgwl,Unknown,123,United States,12/10/2025
Cellebrite,"Tel Aviv, Non-U.S.",20.0,12/3/2025,0.01,Other,https://www.calcalistech.com/ctechnews/article/izmghyvm1,Post-IPO,410,Israel,12/8/2025
