Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.20,-.12,-.23,-.21,-.09,-.16,-.23,-.20,-.23,-.19,***,***,-.14,-.18,-.20
1881,-.16,-.17,.04,.04,.02,-.20,-.07,-.03,-.14,-.21,-.22,-.11,-.10,-.11,-.18,.03,-.10,-.19
1882,.14,.15,.03,-.19,-.16,-.26,-.21,-.06,-.10,-.25,-.16,-.25,-.11,-.10,.06,-.10,-.17,-.17
1883,-.32,-.39,-.13,-.17,-.20,-.13,-.08,-.15,-.21,-.14,-.22,-.16,-.19,-.20,-.32,-.17,-.12,-.19
1884,-.16,-.08,-.37,-.43,-.37,-.41,-.35,-.26,-.27,-.24,-.30,-.29,-.29,-.28,-.13,-.39,-.34,-.27
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.36,-.32,-.24,-.19,-.20,-.05,-.32,-.34,-.39,-.37,-.37,-.21
1886,-.42,-.45,-.39,-.28,-.26,-.39,-.22,-.34,-.26,-.29,-.31,-.27,-.32,-.31,-.31,-.31,-.32,-.29
1887,-.73,-.52,-.34,-.39,-.32,-.24,-.23,-.32,-.23,-.33,-.23,-.34,-.35,-.35,-.51,-.35,-.27,-.26
1888,-.38,-.36,-.41,-.22,-.22,-.18,-.09,-.16,-.10,.02,.01,-.06,-.18,-.20,-.36,-.29,-.14,-.02
1889,-.11,.19,.08,.07,-.02,-.14,-.10,-.20,-.22,-.22,-.33,-.30,-.11,-.09,.00,.04,-.14,-.26
1890,-.44,-.45,-.40,-.37,-.45,-.27,-.27,-.38,-.39,-.24,-.48,-.31,-.37,-.37,-.40,-.41,-.31,-.37
1891,-.42,-.47,-.19,-.28,-.18,-.20,-.20,-.16,-.14,-.21,-.35,-.04,-.24,-.26,-.40,-.21,-.19,-.23
1892,-.28,-.12,-.35,-.35,-.25,-.23,-.32,-.25,-.13,-.13,-.42,-.39,-.27,-.24,-.15,-.32,-.27,-.22
1893,-.80,-.54,-.23,-.30,-.36,-.29,-.16,-.27,-.20,-.17,-.17,-.35,-.32,-.32,-.58,-.30,-.24,-.18
1894,-.54,-.33,-.25,-.48,-.35,-.44,-.26,-.22,-.25,-.21,-.25,-.20,-.31,-.33,-.41,-.36,-.31,-.24
1895,-.44,-.42,-.29,-.25,-.27,-.24,-.18,-.16,-.09,-.08,-.15,-.16,-.23,-.23,-.35,-.27,-.19,-.11
1896,-.26,-.14,-.26,-.31,-.18,-.14,-.04,-.04,-.03,.11,-.08,-.04,-.12,-.13,-.19,-.25,-.07,.00
1897,-.15,-.15,-.14,-.02,-.05,-.16,-.07,-.11,-.08,-.12,-.19,-.19,-.12,-.11,-.11,-.07,-.11,-.13
1898,-.03,-.30,-.52,-.33,-.32,-.21,-.24,-.25,-.22,-.33,-.38,-.25,-.28,-.28,-.17,-.39,-.23,-.31
1899,-.19,-.40,-.34,-.21,-.23,-.33,-.18,-.07,-.03,-.05,.12,-.28,-.18,-.18,-.28,-.26,-.19,.01
1900,-.37,-.03,.01,-.12,-.10,-.13,-.13,-.10,-.05,.09,-.10,-.07,-.09,-.11,-.23,-.07,-.12,-.02
1901,-.24,-.04,.08,-.04,-.17,-.13,-.16,-.20,-.22,-.31,-.17,-.28,-.16,-.14,-.12,-.05,-.16,-.24
1902,-.20,-.03,-.29,-.30,-.35,-.35,-.30,-.32,-.29,-.29,-.39,-.46,-.30,-.28,-.17,-.31,-.32,-.33
1903,-.26,-.04,-.24,-.43,-.44,-.46,-.37,-.49,-.49,-.48,-.45,-.52,-.39,-.38,-.25,-.37,-.44,-.47
1904,-.68,-.58,-.51,-.55,-.56,-.51,-.54,-.50,-.53,-.40,-.22,-.35,-.49,-.51,-.59,-.54,-.52,-.38
1905,-.40,-.59,-.24,-.36,-.33,-.31,-.29,-.22,-.19,-.25,-.10,-.19,-.29,-.30,-.45,-.31,-.27,-.18
1906,-.28,-.31,-.16,-.04,-.24,-.21,-.25,-.20,-.27,-.19,-.39,-.16,-.23,-.23,-.26,-.15,-.22,-.28
1907,-.42,-.51,-.27,-.39,-.47,-.44,-.37,-.35,-.33,-.24,-.49,-.48,-.40,-.37,-.37,-.38,-.38,-.35
1908,-.44,-.31,-.54,-.46,-.41,-.41,-.40,-.46,-.36,-.45,-.50,-.49,-.43,-.43,-.41,-.47,-.42,-.44
1909,-.69,-.47,-.51,-.60,-.56,-.53,-.45,-.31,-.35,-.37,-.31,-.55,-.47,-.47,-.55,-.56,-.43,-.34
1910,-.45,-.44,-.51,-.40,-.35,-.38,-.35,-.37,-.36,-.38,-.54,-.66,-.43,-.42,-.48,-.42,-.37,-.43
1911,-.64,-.58,-.60,-.54,-.52,-.48,-.41,-.42,-.38,-.23,-.18,-.22,-.43,-.47,-.63,-.55,-.44,-.26
1912,-.26,-.12,-.35,-.20,-.22,-.26,-.44,-.55,-.51,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.42,-.49
1913,-.42,-.43,-.43,-.40,-.47,-.49,-.37,-.34,-.36,-.34,-.19,-.04,-.36,-.39,-.43,-.43,-.40,-.30
1914,.04,-.11,-.22,-.29,-.23,-.26,-.24,-.14,-.13,-.04,-.18,-.08,-.16,-.15,-.04,-.25,-.22,-.12
1915,-.17,.00,-.10,.06,-.07,-.21,-.11,-.20,-.17,-.25,-.13,-.17,-.13,-.12,-.09,-.03,-.17,-.18
1916,-.09,-.13,-.28,-.30,-.32,-.47,-.36,-.26,-.32,-.27,-.40,-.80,-.33,-.28,-.13,-.30,-.36,-.33
1917,-.58,-.61,-.60,-.51,-.55,-.43,-.25,-.22,-.18,-.40,-.28,-.68,-.44,-.45,-.67,-.55,-.30,-.29
1918,-.42,-.32,-.25,-.45,-.46,-.36,-.31,-.30,-.15,-.05,-.11,-.28,-.29,-.32,-.47,-.38,-.32,-.10
1919,-.20,-.23,-.20,-.14,-.28,-.38,-.29,-.33,-.22,-.19,-.41,-.42,-.27,-.26,-.24,-.21,-.33,-.28
1920,-.23,-.23,-.08,-.26,-.27,-.36,-.32,-.25,-.20,-.27,-.27,-.44,-.26,-.26,-.29,-.20,-.31,-.24
1921,-.03,-.19,-.23,-.29,-.29,-.28,-.15,-.24,-.17,-.03,-.13,-.17,-.18,-.20,-.22,-.27,-.22,-.11
1922,-.34,-.44,-.13,-.24,-.33,-.33,-.25,-.31,-.32,-.32,-.14,-.18,-.28,-.28,-.32,-.24,-.30,-.26
1923,-.29,-.37,-.35,-.40,-.34,-.26,-.30,-.30,-.28,-.11,.01,-.02,-.25,-.26,-.28,-.36,-.28,-.13
1924,-.22,-.24,-.07,-.31,-.18,-.23,-.26,-.34,-.31,-.34,-.20,-.41,-.26,-.23,-.16,-.19,-.27,-.28
1925,-.36,-.38,-.25,-.25,-.30,-.32,-.28,-.15,-.16,-.18,.04,.09,-.21,-.25,-.38,-.26,-.25,-.10
1926,.19,.06,.11,-.13,-.22,-.23,-.24,-.13,-.13,-.10,-.05,-.28,-.09,-.06,.11,-.08,-.20,-.09
1927,-.27,-.18,-.37,-.31,-.25,-.26,-.16,-.21,-.11,-.01,-.04,-.33,-.21,-.20,-.24,-.31,-.21,-.05
1928,-.01,-.08,-.27,-.28,-.30,-.37,-.19,-.23,-.19,-.17,-.09,-.18,-.20,-.21,-.14,-.28,-.27,-.15
1929,-.46,-.60,-.32,-.40,-.39,-.41,-.33,-.29,-.23,-.12,-.12,-.54,-.35,-.32,-.41,-.37,-.34,-.15
1930,-.30,-.27,-.09,-.24,-.23,-.20,-.20,-.12,-.12,-.09,.15,-.08,-.15,-.19,-.37,-.19,-.17,-.02
1931,-.10,-.24,-.08,-.21,-.20,-.07,-.03,-.03,-.06,.02,-.12,-.09,-.10,-.10,-.14,-.16,-.04,-.05
1932,.14,-.18,-.19,-.06,-.18,-.29,-.24,-.23,-.12,-.10,-.27,-.26,-.17,-.15,-.04,-.15,-.25,-.16
1933,-.34,-.34,-.30,-.25,-.29,-.33,-.21,-.24,-.27,-.21,-.30,-.46,-.29,-.28,-.31,-.28,-.26,-.26
1934,-.24,-.04,-.33,-.30,-.11,-.15,-.10,-.11,-.16,-.08,.03,-.04,-.13,-.17,-.25,-.24,-.12,-.07
1935,-.33,.15,-.13,-.36,-.30,-.27,-.22,-.22,-.21,-.08,-.28,-.20,-.20,-.19,-.07,-.26,-.24,-.19
1936,-.28,-.39,-.22,-.20,-.18,-.21,-.08,-.13,-.09,-.04,-.04,-.03,-.16,-.17,-.29,-.20,-.14,-.05
1937,-.13,.04,-.18,-.17,-.08,-.05,-.05,.02,.11,.08,.09,-.11,-.04,-.03,-.04,-.14,-.03,.10
