dayOfYear,year,value
1,1940,11.721
1,1941,11.816
1,1942,11.564
1,1943,11.857
1,1944,11.952
1,1945,11.829
1,1946,11.734
1,1947,11.569
1,1948,11.953
1,1949,11.61
1,1950,11.674
1,1951,11.565
1,1952,11.934
1,1953,11.735
1,1954,11.569
1,1955,11.609
1,1956,11.469
1,1957,11.71
1,1958,11.818
1,1959,11.615
1,1960,11.96
1,1961,11.851
1,1962,11.78
1,1963,11.873
1,1964,12.068
1,1965,11.461
1,1966,11.966
1,1967,11.793
1,1968,11.76
1,1969,11.62
1,1970,12.026
1,1971,11.815
1,1972,11.841
1,1973,12.194
1,1974,12.028
1,1975,11.88
1,1976,11.992
1,1977,11.725
1,1978,11.865
1,1979,12.042
1,1980,12.107
1,1981,12.253
1,1982,11.97
1,1983,12.154
1,1984,11.94
1,1985,11.897
1,1986,12.043
1,1987,11.831
1,1988,12.311
1,1989,11.843
1,1990,12.413
1,1991,12.297
1,1992,12.202
1,1993,12.124
1,1994,12.122
1,1995,12.587
1,1996,12.329
1,1997,12.067
1,1998,12.306
1,1999,12.138
1,2000,12.149
1,2001,12.092
1,2002,12.693
1,2003,12.235
1,2004,12.75
1,2005,12.522
1,2006,12.599
1,2007,12.701
1,2008,12.188
1,2009,12.58
1,2010,12.496
1,2011,12.338
1,2012,12.68
1,2013,12.502
1,2014,12.553
1,2015,12.518
1,2016,13.17
1,2017,13.067
1,2018,12.715
1,2019,12.798
1,2020,13.098
1,2021,12.601
1,2022,12.661
1,2023,12.965
1,2024,13.398
2,1940,11.661
2,1941,11.806
2,1942,11.516
2,1943,11.83
2,1944,11.96
2,1945,11.763
2,1946,11.705
2,1947,11.54
2,1948,11.916
2,1949,11.638
2,1950,11.627
2,1951,11.576
2,1952,11.802
2,1953,11.748
2,1954,11.514
2,1955,11.592
2,1956,11.497
2,1957,11.671
2,1958,11.849
2,1959,11.567
2,1960,11.945
2,1961,11.808
2,1962,11.789
2,1963,11.96
2,1964,12.116
2,1965,11.467
2,1966,11.92
2,1967,11.767
2,1968,11.682
2,1969,11.629
2,1970,12.012
2,1971,11.821
2,1972,11.901
2,1973,12.154
2,1974,11.963
2,1975,11.814
2,1976,11.943
2,1977,11.765
2,1978,11.884
2,1979,12.035
2,1980,12.062
2,1981,12.227
2,1982,11.891
2,1983,12.081
2,1984,12.046
2,1985,11.951
2,1986,12.04
2,1987,11.805
2,1988,12.359
2,1989,11.819
2,1990,12.371
2,1991,12.246
2,1992,12.201
2,1993,12.165
2,1994,12.181
2,1995,12.591
2,1996,12.307
2,1997,12.177
2,1998,12.408
2,1999,12.08
2,2000,12.108
2,2001,12.097
2,2002,12.616
2,2003,12.293
2,2004,12.737
2,2005,12.607
2,2006,12.63
2,2007,12.784
2,2008,12.123
2,2009,12.503
2,2010,12.475
2,2011,12.361
2,2012,12.604
2,2013,12.505
2,2014,12.556
2,2015,12.547
2,2016,13.141
2,2017,13.033
2,2018,12.731
2,2019,12.86
2,2020,13.192
2,2021,12.617
2,2022,12.651
2,2023,12.951
2,2024,13.301
3,1940,11.661
3,1941,11.782
3,1942,11.487
3,1943,11.739
3,1944,11.986
3,1945,11.698
3,1946,11.742
3,1947,11.497
3,1948,11.935
3,1949,11.626
3,1950,11.508
3,1951,11.536
3,1952,11.709
3,1953,11.763
3,1954,11.533
3,1955,11.649
3,1956,11.525
3,1957,11.628
3,1958,11.868
3,1959,11.517
3,1960,11.934
3,1961,11.804
3,1962,11.817
3,1963,11.985
3,1964,12.098
3,1965,11.457
3,1966,11.924
3,1967,11.696
3,1968,11.616
3,1969,11.69
3,1970,12.032
3,1971,11.806
3,1972,11.811
3,1973,12.116
3,1974,11.867
3,1975,11.758
3,1976,11.873
3,1977,11.789
3,1978,11.959
3,1979,12.011
3,1980,11.991
3,1981,12.198
3,1982,11.833
3,1983,12.028
3,1984,12.149
3,1985,11.999
3,1986,12.016
3,1987,11.715
3,1988,12.362
3,1989,11.818
3,1990,12.322
3,1991,12.215
