date,tavg,tmax,tmin
1999-01-01,49,58,39
1999-01-02,49,59,38
1999-01-03,55,62,47
1999-01-04,46,52,40
1999-01-05,45,52,38
1999-01-06,45,50,40
1999-01-07,46,50,42
1999-01-08,49,58,39
1999-01-09,47,53,41
1999-01-10,45,50,40
1999-01-11,44,51,37
1999-01-12,49,56,42
1999-01-13,50,54,45
1999-01-14,49,54,44
1999-01-15,53,57,48
1999-01-16,55,59,51
1999-01-17,55,58,51
1999-01-18,55,57,53
1999-01-19,58,62,53
1999-01-20,55,57,53
1999-01-21,53,57,49
1999-01-22,54,58,50
1999-01-23,49,57,41
1999-01-24,44,52,36
1999-01-25,49,54,44
1999-01-26,46,50,41
1999-01-27,47,57,37
1999-01-28,47,55,38
1999-01-29,46,52,40
1999-01-30,50,58,41
1999-01-31,48,53,43
1999-02-01,46,54,38
1999-02-02,47,56,37
1999-02-03,49,56,42
1999-02-04,51,55,47
1999-02-05,49,54,43
1999-02-06,51,54,48
1999-02-07,55,58,51
1999-02-08,55,58,51
1999-02-09,51,59,42
1999-02-10,45,51,39
1999-02-11,47,54,40
1999-02-12,48,53,42
1999-02-13,49,56,41
1999-02-14,50,54,46
1999-02-15,48,55,41
1999-02-16,52,56,47
1999-02-17,55,60,50
1999-02-18,53,58,48
1999-02-19,52,60,43
1999-02-20,50,53,46
1999-02-21,50,54,45
1999-02-22,52,56,47
1999-02-23,52,59,44
1999-02-24,51,59,43
1999-02-25,51,56,46
1999-02-26,49,55,42
1999-02-27,52,60,44
1999-02-28,57,62,51
1999-03-01,53,58,47
1999-03-02,54,65,42
1999-03-03,52,56,47
1999-03-04,49,54,44
1999-03-05,49,57,40
1999-03-06,49,55,43
1999-03-07,48,55,41
1999-03-08,50,54,45
1999-03-09,48,52,43
1999-03-10,46,52,40
1999-03-11,51,58,43
1999-03-12,50,56,44
1999-03-13,51,59,43
1999-03-14,50,54,45
1999-03-15,51,57,45
1999-03-16,53,56,49
1999-03-17,51,55,47
1999-03-18,55,62,48
1999-03-19,52,55,49
1999-03-20,51,57,45
1999-03-21,56,61,50
1999-03-22,51,58,44
1999-03-23,52,58,46
1999-03-24,54,57,50
1999-03-25,57,63,50
1999-03-26,53,58,48
1999-03-27,50,57,43
1999-03-28,52,59,44
1999-03-29,52,58,45
1999-03-30,49,55,43
1999-03-31,48,53,42
1999-04-01,48,56,40
1999-04-02,52,62,41
1999-04-03,49,53,45
1999-04-04,49,56,42
1999-04-05,49,53,44
1999-04-06,50,57,43
1999-04-07,50,52,48
1999-04-08,47,51,42
1999-04-09,47,54,39
1999-04-10,48,51,44
1999-04-11,52,56,47
1999-04-12,54,59,48
1999-04-13,54,63,45
1999-04-14,64,79,48
1999-04-15,67,81,52
1999-04-16,70,81,58
1999-04-17,61,70,52
1999-04-18,57,64,50
1999-04-19,56,62,49
1999-04-20,54,59,49
1999-04-21,53,58,48
1999-04-22,58,67,48
1999-04-23,67,76,58
1999-04-24,60,67,53
1999-04-25,56,62,50
1999-04-26,53,59,47
1999-04-27,52,56,47
1999-04-28,52,58,45
1999-04-29,56,63,48
1999-04-30,59,70,48
1999-05-01,53,57,49
1999-05-02,53,57,48
1999-05-03,54,58,49
1999-05-04,54,61,47
1999-05-05,60,73,46
1999-05-06,55,61,48
1999-05-07,54,61,47
1999-05-08,53,60,45
1999-05-09,54,61,46
1999-05-10,54,62,46
1999-05-11,57,66,48
1999-05-12,53,59,47
1999-05-13,53,60,46
1999-05-14,52,57,46
1999-05-15,53,61,45
1999-05-16,54,61,47
1999-05-17,56,64,48
1999-05-18,57,63,51
1999-05-19,55,60,50
1999-05-20,55,60,49
1999-05-21,56,66,46
1999-05-22,64,77,50
1999-05-23,61,68,53
1999-05-24,58,65,51
1999-05-25,59,67,50
1999-05-26,59,68,50
1999-05-27,55,60,50
1999-05-28,53,55,50
1999-05-29,53,56,50
1999-05-30,59,67,50
1999-05-31,60,67,52
1999-06-01,55,59,51
1999-06-02,55,60,50
1999-06-03,55,62,48
1999-06-04,58,65,50
1999-06-05,59,67,51
1999-06-06,56,62,50
1999-06-07,55,61,48
1999-06-08,55,62,48
1999-06-09,56,63,48
1999-06-10,59,68,50
1999-06-11,57,64,50
1999-06-12,58,66,49
1999-06-13,61,68,53
1999-06-14,59,64,53
1999-06-15,58,63,53
1999-06-16,59,66,52
1999-06-17,60,68,51
1999-06-18,59,66,52
1999-06-19,60,66,53
1999-06-20,60,69,51
1999-06-21,59,65,53
1999-06-22,65,76,53
1999-06-23,63,73,52
1999-06-24,60,66,53
1999-06-25,59,65,52
1999-06-26,60,70,50
1999-06-27,67,82,51
1999-06-28,68,82,53
1999-06-29,68,81,54
1999-06-30,72,87,56
1999-07-01,63,71,55
1999-07-02,60,66,53
1999-07-03,58,63,52
1999-07-04,62,73,50
1999-07-05,61,70,52
1999-07-06,59,65,52
1999-07-07,63,73,52
1999-07-08,62,71,52
1999-07-09,62,72,51
1999-07-10,62,72,51
1999-07-11,70,86,54
1999-07-12,73,87,59
1999-07-13,66,76,56
1999-07-14,68,80,55
1999-07-15,63,71,54
1999-07-16,59,64,53
1999-07-17,60,65,54
1999-07-18,61,71,50
1999-07-19,61,66,56
1999-07-20,62,67,57
1999-07-21,62,68,55
1999-07-22,61,67,54
1999-07-23,60,66,54
1999-07-24,62,66,57
1999-07-25,62,68,55
1999-07-26,62,68,55
1999-07-27,61,66,55
1999-07-28,61,67,55
1999-07-29,63,69,56
1999-07-30,60,65,55
1999-07-31,59,64,54
1999-08-01,62,69,55
1999-08-02,64,71,56
1999-08-03,63,68,57
1999-08-04,60,64,55
1999-08-05,60,64,56
1999-08-06,65,70,59
1999-08-07,65,70,59
1999-08-08,65,70,59
1999-08-09,63,68,58
1999-08-10,64,69,58
1999-08-11,65,70,59
1999-08-12,64,69,58
1999-08-13,63,69,57
1999-08-14,62,67,56
1999-08-15,64,73,55
1999-08-16,62,71,53
1999-08-17,62,68,55
1999-08-18,62,66,57
1999-08-19,64,72,55
1999-08-20,63,69,56
1999-08-21,67,78,56
1999-08-22,74,90,57
1999-08-23,64,71,56
1999-08-24,63,71,54
1999-08-25,68,83,53
1999-08-26,67,79,55
1999-08-27,68,76,59
1999-08-28,65,72,57
1999-08-29,63,68,57
1999-08-30,63,69,57
1999-08-31,63,73,53
1999-09-01,61,70,51
1999-09-02,64,74,54
1999-09-03,61,68,53
1999-09-04,60,68,51
1999-09-05,63,76,50
1999-09-06,63,73,53
1999-09-07,63,73,52
1999-09-08,63,68,57
1999-09-09,63,68,58
1999-09-10,64,73,54
1999-09-11,63,69,56
